Id,Source,Topic,PashtoText,EnglishtTranslation,AnnotatorOne,AnnotatorTwo
530,,,هړ کلی دړته وایو   نبی ګل,We welcom to Nabi Gul,Positive,Positive
531,,,دی کله هم تور نه ده کړی هر وخت یی غول کړیی زه تیر نوره هس تمه هم نه لرم,"They unsuccess every time, every time he fialed .",Negative,Negative
532,,,شہ۔سفرہ۔ویل ڈن,"Good trip, well done ",Positive,Positive
533,,,نو دزمبابوے سرہ بہ سوک لوبیگی,who will play with Zimbabwy,Positive,Positive
534,,,مونگ درتہ ھرکلے  وایو دا خیرا رواسے گرانا,"we welcom to you, ",Positive,Positive
535,,,مونگہ ورتہ سلام کوو دا افغانی لوبغڑو تہ,We Salam to Afghn's players,Positive,Positive
536,,,ار کله راشى شه راغلاست درته وايو,Welcom every time,Positive,Positive
537,,,الله ج دی پخیرسره ورسوی اوسره دبریاوودی راستون شی خپل هیواد ته گران افغانستات ته,"Good bye , May you returned succeesively to Afghanistan",Positive,Positive
538,,,نوداخفلی بازی به سوک کوی ده زمبابی سره,who will play with Zimbabwy,Positive,Positive
539,,,مخ ته ګلونه,Good Luck,Positive,Positive
540,,,د وطن په مینه مست يم ليونی يم ‏که په دار شم که سنګسار شم پروا نشته,"I am mad with love for my homeland, I don't care if I am hanged or stoned",Positive,Positive
541,,,"زمانگ دی زڑہ سر نبی جان موسٹ ویلکم،💓💓💓💓💓💓💓","My hear Nabi John, Most Welcome",Positive,Positive
542,,,څو ورځې بعد شروع کیږی؟,when will start?,Positive,Positive
543,,,اللہ دی پہ خیر راولی دلتہ ڈیر فوختانہ  دہ افغان لوبغاڑو پہ تمہ دی زہ دہ قیص احمد کوئٹہ گلیڈیٹورز,"May you come here, Here are many Afghans to wait for Afghani players",Positive,Positive
544,,,الله ج بريالى لرى او خپل وطن ته يۍ پو خوشحال راولى خوږ سړى دى نبى جان,"May Allah bless him and bring happiness to his homeland. He is a sweet man, Nabi Jan.",Positive,Positive
545,,,خہ راغلاست ورتہ وایو❤❤💚💚,Welcome back,Positive,Positive
546,,,کراچی تہ پہ راتگ ہر کلے ۔ ہر کلہ راشئ 🌺💐,Welcome to Karachi,Positive,Positive
547,,,ده نبي جان ورتګ پاکستان  دا هم يو سياست ,The arrival of Nabi Jan in Pakistan is also a politics,Negative,Negative
548,,,خکلی خبر دا سپورټ سیاست سره جوړخت نه لاریی,"The news,
Sport is not compatible with politics",Positive,Positive
549,,,د پیسو مقابل کی خدای مو خوار کړه ,God humiliated you in exchange for money,Negative,Negative
550,,,هيله کووم چې خپل اتل تشويق کړي نه چې منفي خبري  هر يو اتل زمونږ اتل دي,Hope you encourage your hero not negative talk every hero is our hero,Positive,Positive
551,,,غولی خوړل سی رالو پاکستان ته,"Nonsense , to come here to Pakistan",Negative,Negative
552,,,ورته ده بر یاوو په هیله,May you success,Positive,Positive
553,,,پخیر راغلے ہر کلے درتہ وایو ❤️,Welcom,Positive,Positive
554,,,ښه سفر لالا ته د ځلیدو په هیله یی,"have a Good trip, may you success",Positive,Positive
555,,,شہ راغلاست ورتہ وایو,Welcome,Positive,Positive
556,,,نو زمنګ میچونه څه شول چی دوی ټول پاکیستان ته ولاړ,What about our cricket matches if they went to Pakistan?,Negative,Negative
557,,,مزی کوی افغانستان هسنم نه جوړیږی,"have fun, Afghanistan is not being built anyway ",Negative,Negative
558,,,ماشا الله دا دافغا نستان دخلگو لپاره ویار دی,"Masha Allah, this is benificial for Afghan people",Positive,Positive
559,,,دنبي جان دښه ځليدو په هيله❤,"May you success, Nabi Jaan",Positive,Positive
560,,,ده افغانیت والي مات شو پنجاب ډير خوند ورکوي,Why did the Pushtunism  destroye? They enjoye Punjab ,Negative,Negative
561,,,دوۍ په ورلډ کپ کى معلوم شوى دى د وطن په خير نه دى,They are known in the World Cup is not good for the country,Negative,Negative
562,,,دال ډیر ونه خوری چی خراب دی نه کی راته,"Don't eat too much lentils, which is bad",Negative,Negative
563,,,ښه راغلاست درته واېو ♥️✌️♥️,welcome,Positive,Positive
564,,,"پام مو وی چی دلته هم کوم چل نوی ،هوشیار واوسی","Be careful what you do here, VP",Negative,Negative
565,,,"اللہ دے کامیاب لرا ، خوشحالا ووسے",May Allah grant you success and prosperity,Positive,Positive
566,,,راسه راسه په خیر راسه  سی یو څو ګفی وکو سی په وطن کی څال حوال و,"Welcom welcom , we will chat about our homeland",Positive,Positive
567,,,ډیر بد یې کړي دي باید نه وای لوبیدلی,Too bad he shouldn't have played,Negative,Negative
568,,,اتل دې د اتلانو سره يو ځاى تل بريالى وي ❤️,Heroes should always be successful together with heroes.,Positive,Positive
569,,,اجار نبی جانه تل می زړه کی یی له تانه دی ټوله نړی لوګی شی الله دی تل ژوندی لره زموږ خوو زړه کی یی,"The hired Nabi jan  is always in my heart, the whole world is smoke,May Allah is always alive you in our hearts.",Positive,Positive
570,,,پا کستا ن ته مه ځی چه واسکټو نه درباندی اعوندي,"Don't go to Pakistan ,they will make suicid you",Negative,Negative
571,,,نو ولی په موتر کی نه تلو چی په کراچی کی زی. کیدای شی دالو کی طاقت ختم شوی وی.ههه,So why not drive to Karachi. Daal may have run out of power,Negative,Negative
572,,,راشید خان پہ کوم ٹیم کی دے سوک معلوم لري,any one know about Rashid Khan ? in which team he belongs to?,Positive,Positive
573,,,ھئ دوہ مخو شرمیدلو,Shame on you,Negative,Negative
574,,,دوی پېسو پسی مړ کیږی ,They die for money,Negative,Negative
575,,,ډیر شه   بیاد موز په سپورټ کې سیاست راه ګډ نه کو. ډېرو غوزو ملګرو. ,"Very good, we shouldn't mix sports with politics.",Positive,Positive
576,,,شہ راغلاست در تہ وایو پاکستان🇵🇰 تہ. خوشالہ او آباد ووسیئ.   او دا خلگ مہربانی وکڑی لوبغاڑو باندی تور ملگوئ لوبغاڑی لہ سیاست چہ لری کئ. او ذوند خوشالہ تیرہ وی. Astalavista,"Welcome to Pakistan. Happy and prosperous , don't blam on Athletes, players aren't involved in politics.
  Be happy . Astalavista",Positive,Positive
577,,,داولس په سره به ابادي ته لاړ وی  نو اوس به ولس ته عوږ هم نه نسي,You have been selected by people now would you not listen by nation,Negative,Negative
578,,,دي لوبغاړو هغه معلومات تاسو باید شیر کړی کله چي هلته ورسږي,share the arrival time of plyers in Karahci,Positive,Positive
579,,,سپی غاپی خلق تیریگی پہ لار لکہ د مار🐍 خلق بہ ڈیر ڈیر سہ وائی ... ہرکلے درتہ وائیو...,"The dogs are barking, the people is going on the way, Like a snake , People will say everything , but we welcome to you",Positive,Positive
580,,,خه کار یی کری زمونژ کرکت برد خو ورته میچونه نسی نویلی نو سه وکری,"Do it good, Our board can't conduct the matches so what didi they do?",Positive,Positive
581,,,هههه اسي دي ځي دا پیسو نه بغیر بل څه نه ویني,"Lol
It sees nothing but money",Negative,Negative
582,,,خپل درس کار بار پسی ولارشی هغوی دالر چاپه ویی تاسو شپه ورز راشد سه وکرل نبی سه وکرل هغوی که داکتر نجیب جنرال رازق باندیی ننگه کری ویی نترل,"Do you study, do you work, you pople saying that , What did Najib do, ? What did Rashid do ? If they were respectful persons then they didn't go ",Positive,Positive
583,,,د ښه ځلېدو په هیله یې,May you succed ,Positive,Positive
584,,,د بریا په هیله یی کامیابی یی غواړو,We wish him success,Positive,Positive
585,,,ښه سفر ولرى اتل ښو لوبو ځليدو په هيله,Have a good trip and wish the hero good games,Positive,Positive
586,,,ډیر ښه! خدای ج دي وکړی چي د دواړو هیوادنو ترمنځ د سیاست اړیکې هم غښتلی شې.,that's good! May the political ties between the two countries be strengthened.,Positive,Positive
587,,,تازه خبردملی کرکیٹ کفتان اضغرافغان . نن سهار دیو لوی سفر په مخه  پاکستان ته ولا ڑو ویل کیگی اضغرافغان به نن ماسپخین پر 2:30دپاکستان په سوپرلیگ لپاره خپل ٹیم کراچی کینگس په گٹه  لوبیگی  منیوال  دی خبر وی😜,"Latest News National Cricket Kaftan Azgharaf Afghan. Before the big trip to Pakistan this morning, it will be said that Azghara Afghan will play for Pakistan Super League in Karachi Super Kings at 2:30 this afternoon.",Positive,Positive
588,,,"اوغاپئ لکہ دہ سپی🐕
 رازی بہ پاکستان تہ کہ نہ رازیئ خوریئ بہ سہ💪💪","bark like dog, If you didn't come here then what will you eat?",Negative,Negative
589,,,نبی جان دي ژوندی وي هغه دي اصغر جان ورور هم شته ورسره کنه,May you long live Nabi jaan. Did asghar khan with them or not?,Positive,Positive
590,,,ډیر بد یې کړي دي باید نه وای لوبیدلی,"the do it very wrong, the shouldn't come here",Negative,Negative
591,,,اتل دې د اتلانو سره يو ځاى تل بريالى وي ❤️,Heroes should always be successful together with heroes.,Positive,Positive
592,,,پخير ورسيږي لاله,Good bye Lala,Positive,Positive
593,,,"غول یی خوړل ، که حکومت دی ،که د کرکټ بورډ دی، ټول د خره زامن دی، پاکستان موږ سره څه کوی موږ بیا ور روان کرکټ ور سره کوو، افسوس دا مخلوق لږ  غيرت، شرم هم ښه وی","They are fools, if there is a government, if there is a cricket board, they are all sons of donkeys, what is Pakistan doing to us, we are going to play cricket with them again،Alas, this creature has little pride, no shame",Negative,Negative
594,,,ھئ دوہ مخو شرمیدلو,"Sham on you, double minded",Negative,Negative
595,,,خه کار یی نہ دے کری ,they didn't do good,Negative,Negative
596,,, باید نه وای لوبیدلی,shouldn't be played,Negative,Negative
597,,,دښه ځليدو په هيله❤,May you succed,Positive,Positive
598,,,کراچی تہ پہ راتگ ہر کلے ۔ ہر کلہ راشئ 🌺💐,welcom tO karachi,Positive,Positive
599,,,سلام عليكم ورحمة الله وبركاته,Assalam o Alaikum ,Positive,Positive
600,,,پخير دى لاړ شى ,Good bye,Positive,Positive
